2024-12-17T14:01:32.853Z systemd[1]:  Started Apply Kernel Variables.
2025-01-20T12:50:45.151Z systemd[1]:  Started udhcpc Merges all the dns entries..
2025-01-20T12:50:45.804Z systemd[1]:  Stopping NTP Time Checker...
2025-01-20T12:50:45.809Z systemd[1]:  Stopped NTP Time Checker.
2025-01-20T12:50:45.811Z systemd[1]:  Stopping Network Time Synchronization...
2025-01-20T12:50:45.847Z systemd[1]:  Stopped Network Time Synchronization.
2025-01-20T12:50:45.855Z systemd[1]:  Starting Network Time Synchronization...
2025-01-20T12:50:45.956Z systemd[1]:  Started Attach Qualcomm HCI UART to the UART port on the board..
2025-01-20T12:50:45.962Z systemd[1]:  Starting Bluetooth service...
2025-01-20T12:50:46.019Z systemd[1]:  Started Network Time Synchronization.
2025-01-20T12:50:46.030Z systemd[1]:  Starting NTP Time Checker...
2025-01-20T12:50:46.039Z systemd[1]:  Started NTP Time Checker.
2025-01-20T12:50:46.118Z systemd[1]:  Started Storagemanager main application.
2025-01-20T12:50:46.125Z systemd[1]:  Starting Fog HLS Recording Service...
2025-01-20T12:50:46.125Z systemd[1]:  Starting Cleans up browser cache...
2025-01-20T13:32:22.616Z systemd[1]:  Time has been changed
2025-01-20T13:32:22.634Z systemd[1]:  Starting NTP event...
2025-01-20T13:32:22.661Z systemd[1]:  Started Cleans up browser cache.
2025-01-20T13:32:22.667Z systemd[1]:  Started Update Previous reboot info.
2025-01-20T13:32:22.762Z systemd[1]:  Started Bluetooth service.
2025-01-20T13:32:22.769Z systemd[1]:  Starting Bluetooth Manager Daemon over IARM IPC...
2025-01-20T13:32:22.770Z systemd[1]:  Reached target Bluetooth.
2025-01-20T13:32:22.777Z systemd[1]:  Starting Control Manager Main Service...
2025-01-20T13:32:22.963Z systemd[1]:  Started Fog HLS Recording Service.
2025-01-20T13:32:23.068Z systemd[1]:  Started NTP event.
2025-01-20T13:32:23.527Z systemd[1]:  Started Cleans up Gstreamer Registry.
2025-01-20T13:32:23.538Z systemd[1]:  Starting wpeframework...
2025-01-20T13:32:24.170Z systemd[1]:  Started Control Manager Main Service.
2025-01-20T13:32:25.795Z systemd[1]:  Started Mediarite service.
2025-01-20T13:32:26.096Z systemd[1]:  Started Bluetooth Manager Daemon over IARM IPC.
2025-01-20T13:32:27.242Z systemd[1]:  Started wpeframework.
2025-01-20T13:32:27.244Z systemd[1]:  Starting WPEFramework Monitor Initialiser...
2025-01-20T13:32:27.248Z systemd[1]:  Starting WPEFramework System Initialiser...
2025-01-20T13:32:27.251Z systemd[1]:  Starting WPEFramework HdcpProfile Initialiser...
2025-01-20T13:32:27.255Z systemd[1]:  Starting WPEFramework LinchPinClientManager Initialiser...
2025-01-20T13:32:27.267Z systemd[1]:  Starting WPEFramework CloudStore Initialiser...
2025-01-20T13:32:27.268Z systemd[1]:  Starting WPEFramework SecManager Initialiser...
2025-01-20T13:32:27.282Z systemd[1]:  Starting WPEFramework VoiceControl Initialiser...
2025-01-20T13:32:27.283Z systemd[1]:  Starting WPEFramework DisplaySettings Initialiser...
2025-01-20T13:32:27.284Z systemd[1]:  Starting WPEFramework FrontPanel Initialiser...
2025-01-20T13:32:27.284Z systemd[1]:  Starting WPEFramework DisplayInfo Initialiser...
2025-01-20T13:32:27.310Z systemd[1]:  Starting WPEFramework TextToSpeech Initialiser...
2025-01-20T13:32:27.325Z systemd[1]:  Starting WPEFramework TextTrack Initialiser...
2025-01-20T13:32:27.326Z systemd[1]:  Starting WPEFramework PlayerInfo Initialiser...
2025-01-20T13:32:27.327Z systemd[1]:  Starting WPEFramework Telemetry Initialiser...
2025-01-20T13:32:27.329Z systemd[1]:  Starting WPEFramework SystemMode Initialiser...
2025-01-20T13:32:27.329Z systemd[1]:  Starting WPEFramework Packager Initialiser...
2025-01-20T13:32:27.330Z systemd[1]:  Starting WPEFramework DeviceIdentification Initialiser...
2025-01-20T13:32:27.330Z systemd[1]:  Starting WPEFramework Bluetooth Initialiser...
2025-01-20T13:32:27.349Z systemd[1]:  Starting WPEFramework SystemAudioPlayer Initialiser...
2025-01-20T13:32:27.354Z systemd[1]:  Starting WPEFramework Messenger Initialiser...
2025-01-20T13:32:27.424Z systemd[1]:  Starting WPEFramework DeviceInfo Initialiser...
2025-01-20T13:32:27.441Z systemd[1]:  Starting WPEFramework HdmiCecSource Initialiser...
2025-01-20T13:32:27.449Z systemd[1]:  Starting WPEFramework NetworkManager Initialiser...
2025-01-20T13:32:27.455Z systemd[1]:  Starting WPEFramework PersistentStore Initialiser...
2025-01-20T13:32:27.459Z systemd[1]:  Starting WPEFramework AVInput Initialiser...
2025-01-20T13:32:27.460Z systemd[1]:  Starting WPEFramework Watermark Initialiser...
2025-01-20T13:32:27.461Z systemd[1]:  Starting WPEFramework Xcast Initialiser...
2025-01-20T13:32:27.462Z systemd[1]:  Starting WPEFramework RemoteControl Initialiser...
2025-01-20T13:32:27.463Z systemd[1]:  Starting WPEFramework MediaSettings Initialiser...
2025-01-20T13:32:27.594Z systemd[1]:  Started WPEFramework CloudStore Initialiser.
2025-01-20T13:32:27.901Z systemd[1]:  Started WPEFramework SecManager Initialiser.
2025-01-20T13:32:27.944Z systemd[1]:  Started WPEFramework System Initialiser.
2025-01-20T13:32:27.947Z systemd[1]:  Started WPEFramework DisplayInfo Initialiser.
2025-01-20T13:32:28.026Z systemd[1]:  Started WPEFramework LinchPinClientManager Initialiser.
2025-01-20T13:32:28.038Z systemd[1]:  Started WPEFramework Messenger Initialiser.
2025-01-20T13:32:28.065Z systemd[1]:  Started WPEFramework FrontPanel Initialiser.
2025-01-20T13:32:28.067Z systemd[1]:  Started WPEFramework Watermark Initialiser.
2025-01-20T13:32:28.070Z systemd[1]:  Started WPEFramework SystemMode Initialiser.
2025-01-20T13:32:28.072Z systemd[1]:  Started WPEFramework VoiceControl Initialiser.
2025-01-20T13:32:28.078Z systemd[1]:  Started WPEFramework NetworkManager Initialiser.
2025-01-20T13:32:28.081Z systemd[1]:  Started WPEFramework RemoteControl Initialiser.
2025-01-20T13:32:28.084Z systemd[1]:  Started WPEFramework Bluetooth Initialiser.
2025-01-20T13:32:28.096Z systemd[1]:  Started WPEFramework DeviceIdentification Initialiser.
2025-01-20T13:32:28.104Z systemd[1]:  Started WPEFramework Monitor Initialiser.
2025-01-20T13:32:28.109Z systemd[1]:  Started WPEFramework TextToSpeech Initialiser.
2025-01-20T13:32:28.116Z systemd[1]:  Started WPEFramework PlayerInfo Initialiser.
2025-01-20T13:32:28.120Z systemd[1]:  Started WPEFramework Packager Initialiser.
2025-01-20T13:32:28.123Z systemd[1]:  Started WPEFramework SystemAudioPlayer Initialiser.
2025-01-20T13:32:28.126Z systemd[1]:  Started WPEFramework HdmiCecSource Initialiser.
2025-01-20T13:32:28.130Z systemd[1]:  Started WPEFramework PersistentStore Initialiser.
2025-01-20T13:32:28.134Z systemd[1]:  Started WPEFramework Telemetry Initialiser.
2025-01-20T13:32:28.137Z systemd[1]:  Started WPEFramework DisplaySettings Initialiser.
2025-01-20T13:32:28.142Z systemd[1]:  Started WPEFramework AVInput Initialiser.
2025-01-20T13:32:28.146Z systemd[1]:  Started WPEFramework HdcpProfile Initialiser.
2025-01-20T13:32:28.151Z systemd[1]:  Started WPEFramework Xcast Initialiser.
2025-01-20T13:32:28.154Z systemd[1]:  Started WPEFramework MediaSettings Initialiser.
2025-01-20T13:32:28.157Z systemd[1]:  Started WPEFramework DeviceInfo Initialiser.
2025-01-20T13:32:28.187Z systemd[1]:  Starting WPEFramework SharedStorage Initialiser...
2025-01-20T13:32:28.190Z systemd[1]:  Starting WPEFramework UserSettings Initialiser...
2025-01-20T13:32:28.198Z systemd[1]:  Starting WPEFramework EasterEggs Initialiser...
2025-01-20T13:32:28.199Z systemd[1]:  Starting WPEFramework Wifi Initialiser...
2025-01-20T13:32:28.202Z systemd[1]:  Starting WPEFramework Network Initialiser...
2025-01-20T13:32:28.393Z systemd[1]:  Started WPEFramework EasterEggs Initialiser.
2025-01-20T13:32:28.408Z systemd[1]:  Started WPEFramework SharedStorage Initialiser.
2025-01-20T13:32:28.416Z systemd[1]:  Started WPEFramework UserSettings Initialiser.
2025-01-20T13:32:28.424Z systemd[1]:  Starting Firebolt reference implementation...
2025-01-20T13:32:28.448Z systemd[1]:  Started WPEFramework Wifi Initialiser.
2025-01-20T13:32:28.480Z systemd[1]:  Started WPEFramework Network Initialiser.
2025-01-20T13:32:28.486Z systemd[1]:  Starting WPEFramework IPControl Initialiser...
2025-01-20T13:32:28.495Z systemd[1]:  Starting WPEFramework LocationSync Initialiser...
2025-01-20T13:32:28.499Z systemd[1]:  Starting WPEFramework AuthService Initialiser...
2025-01-20T13:32:28.891Z systemd[1]:  Started WPEFramework TextTrack Initialiser.
2025-01-20T13:32:28.961Z systemd[1]:  Started WPEFramework LocationSync Initialiser.
2025-01-20T13:32:29.476Z systemd[1]:  Started WPEFramework AuthService Initialiser.
2025-01-20T13:32:29.478Z systemd[1]:  Starting WPEFramework MaintenanceManager Initialiser...
2025-01-20T13:32:29.479Z systemd[1]:  Starting WPEFramework DeviceProvisioning Initialiser...
2025-01-20T13:32:29.480Z systemd[1]:  Starting WPEFramework MediaSystem Initialiser...
2025-01-20T13:32:29.700Z systemd[1]:  Started WPEFramework MediaSystem Initialiser.
2025-01-20T13:32:29.700Z systemd[1]:  Started WPEFramework MaintenanceManager Initialiser.
2025-01-20T13:32:30.453Z systemd[1]:  Started DOCSIS IP Connectivity.
2025-01-20T13:32:30.686Z systemd[1]:  Started Check for network Interface.
2025-01-20T13:32:30.687Z systemd[1]:  Starting SSH Per-Connection Server...
2025-01-20T13:32:30.691Z systemd[1]:  Starting An instance of dropbear for free SSH access...
2025-01-20T13:32:30.750Z systemd[1]:  Started WPEFramework DeviceProvisioning Initialiser.
2025-01-20T13:32:30.750Z systemd[1]:  Starting WPEFramework OCDM Initialiser...
2025-01-20T13:32:30.793Z systemd[1]:  Started An instance of dropbear for free SSH access.
2025-01-20T13:32:31.436Z systemd[1]:  Started WPEFramework OCDM Initialiser.
2025-01-20T13:32:32.057Z systemd[1]:  Started WPEFramework IPControl Initialiser.
2025-01-20T13:32:32.475Z systemd[1]:  Started Webpa parodus Daemon.
2025-01-20T13:32:32.479Z systemd[1]:  Started xpki certificate aquisition.
2025-01-20T13:32:36.285Z systemd[1]:  Started Firebolt reference implementation.
2025-01-20T13:32:36.294Z systemd[1]:  Starting Sky AS Thunder Initialiser...
2025-01-20T13:32:36.298Z systemd[1]:  Starting Sky AS Apps Service...
2025-01-20T13:32:36.303Z systemd[1]:  Started Sky AS Thunder Initialiser.
2025-01-20T13:32:36.305Z systemd[1]:  Starting Sky AS Network Service...
2025-01-20T13:32:36.532Z systemd[1]:  Started SSH Per-Connection Server.
2025-01-20T13:32:36.568Z systemd[1]:  Started Sky AS Network Service.
2025-01-20T13:32:36.571Z systemd[1]:  Starting Sky AS System Service daemon...
2025-01-20T13:32:38.873Z systemd[1]:  Starting NTP event...
2025-01-20T13:32:39.472Z systemd[1]:  Started NTP event.
2025-01-20T13:32:40.826Z systemd[1]:  Started Sky AS System Service daemon.
2025-01-20T13:32:46.703Z systemd[1]:  Started Sky AS Apps Service.
2025-01-20T13:32:46.708Z systemd[1]:  Starting Sky Apps Service VNC / Remote Desktop Server...
2025-01-20T13:32:46.712Z systemd[1]:  Starting Copy playready certs...
2025-01-20T13:32:46.718Z systemd[1]:  Starting Sky AS Analytics Service daemon...
2025-01-20T13:32:46.722Z systemd[1]:  Starting Subtec subttxrend-app service...
2025-01-20T13:32:46.730Z systemd[1]:  Starting Sky Apps Service Gateway...
2025-01-20T13:32:46.865Z systemd[1]:  Started Copy playready certs.
2025-01-20T13:32:46.867Z systemd[1]:  Started Sky Apps Service VNC / Remote Desktop Server.
2025-01-20T13:32:46.874Z systemd[1]:  Starting Sky AS Player Service...
2025-01-20T13:32:47.144Z systemd[1]:  Started Sky AS Analytics Service daemon.
2025-01-20T13:32:48.077Z systemd[1]:  Starting network@dobby0.service...
2025-01-20T13:32:48.090Z systemd[1]:  Started network@dobby0.service.
2025-01-20T13:32:48.138Z systemd[1]:  Starting network@dobby_tap0.service...
2025-01-20T13:32:48.143Z systemd[1]:  Starting network@veth0.service...
2025-01-20T13:32:48.164Z systemd[1]:  Started network@dobby_tap0.service.
2025-01-20T13:32:48.169Z systemd[1]:  Started network@veth0.service.
2025-01-20T13:32:50.759Z systemd[1]:  Started Subtec subttxrend-app service.
2025-01-20T13:32:50.760Z systemd[1]:  Reached target Multi-User System.
2025-01-20T13:32:50.762Z systemd[1]:  Starting Update UTMP about System Runlevel Changes...
2025-01-20T13:32:50.786Z systemd[1]:  Started Update UTMP about System Runlevel Changes.
2025-01-20T13:32:50.879Z systemd[1]:  Started Sky Apps Service Gateway.
2025-01-20T13:32:51.544Z systemd[1]:  Started Sky AS Player Service.
2025-01-20T13:32:51.544Z systemd[1]:  Starting Sky AS VoiceSearch Service...
2025-01-20T13:32:51.544Z systemd[1]:  Starting Sky AS Peripherals Service daemon...
2025-01-20T13:32:51.553Z systemd[1]:  Starting Sky AS Bridge Service daemon...
2025-01-20T13:32:51.647Z systemd[1]:  Started Sky AS VoiceSearch Service.
2025-01-20T13:32:51.648Z systemd[1]:  Starting Testagent Loader service...
2025-01-20T13:32:51.699Z systemd[1]:  Stopped [testagentloader]Merges all the dns entries to a single file..
2025-01-20T13:32:51.752Z systemd[1]:  Started Sky AS Bridge Service daemon.
2025-01-20T13:32:51.834Z systemd[1]:  testagentloader.service: Main process exited, code=exited, status=1/FAILURE
2025-01-20T13:32:51.834Z systemd[1]:  Failed to start Testagent Loader service.
2025-01-20T13:32:51.834Z systemd[1]:  testagentloader.service: Unit entered failed state.
2025-01-20T13:32:51.834Z systemd[1]:  testagentloader.service: Triggering OnFailure= dependencies.
2025-01-20T13:32:51.835Z systemd[1]:  testagentloader.service: Failed with result 'exit-code'.
2025-01-20T13:32:51.839Z systemd[1]:  Starting Sky EPG Application...
2025-01-20T13:32:52.037Z systemd[1]:  Started Sky AS Peripherals Service daemon.
2025-01-20T13:32:52.602Z systemd[1]:  Starting Browser Service...
2025-01-20T13:32:52.734Z systemd[1]:  Starting network@veth1.service...
2025-01-20T13:32:52.773Z systemd[1]:  Started network@veth1.service.
2025-01-20T13:32:53.680Z systemd[1]:  Started Sky EPG Application.
2025-01-20T13:32:55.528Z systemd[1]:  Started Browser Service.
2025-01-20T13:32:55.528Z systemd[1]:  Startup finished in 2.891s (kernel) + 53.319s (userspace) = 56.211s.
2025-01-20T13:33:03.906Z systemd[1]:  Started Apps Download Service.
2025-01-20T13:33:05.966Z systemd[1]:  apps-rdm.service: Main process exited, code=exited, status=1/FAILURE
2025-01-20T13:33:05.968Z systemd[1]:  apps-rdm.service: Unit entered failed state.
2025-01-20T13:33:05.969Z systemd[1]:  apps-rdm.service: Failed with result 'exit-code'.
2025-01-20T13:33:11.109Z systemd[1]:  Starting NTP event...
2025-01-20T13:33:11.720Z systemd[1]:  Started NTP event.
2025-01-20T13:33:24.051Z systemd[1]:  Started Disk Space Monitor Service.
2025-01-20T13:33:24.057Z systemd[1]:  Started Moca Status Logger Service.
2025-01-20T13:33:24.064Z systemd[1]:  Started Disk Health Logger Service.
